,TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ACWG ESM,ACWG TSM,Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity, Stellar Metallicity err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
1407,119700084,1413.01,,2,4,2,2,4,4,4,9.4,77.6,1,4,6,PC,PC,10.1188,0.006,,1,spoc,22:13:00.76,37:37:39.27,37.32,0.073,-38.196,0.112,2458741.089844,0.00129,6.116688,0.000728,0.532622,0.598871,1.773,0.261075,1631.660767,240.429916,3.718569,8.670165,149.079483,891.198059,7.954413,115.417,1.1235,5427.0,141.322006,4.51461,0.083056,0.890109,0.050472,,,16,2019-11-06,2019-12-17,2021-06-01 12:02:45,Check nearby stars; Potential L1 candidate
1408,125442121,1414.01,,3,5,5,3,2,4,4,100.5,134.7,7,1,3,PC,APC,11.029,0.009,,1,spoc,23:26:19.13,38:33:10.58,3.164,0.051,-8.173,0.044,2458739.332275,0.000737,3.01963,0.000177,3.60455,0.040758,14.403037,0.450187,13178.085938,414.551788,18.764231,0.858742,2558.890625,1813.980713,22.188715,460.951,7.9325,7128.0,132.115005,4.23768,0.08651,1.58815,0.067116,,,16,2019-11-06,2019-12-17,2021-06-01 12:02:45,Possible EB and very active star
1409,148782377,1415.01,,1,4,1,3,4,4,4,10.6,82.9,2,3,3,PC,PC,8.39816,0.006,,1,spoc,14:36:08.89,42:22:42.45,-59.935,0.033,42.482,0.039,2458933.177794,0.001553,14.419358,0.002257,5.163571,0.199971,1.184207,0.068483,1090.100177,63.073494,4.783583,0.487979,186.899216,943.021554,16.147219,112.152,0.3305,6383.0,130.424,4.24518,0.086178,1.41048,0.064925,,,23,2019-11-06,2020-05-07,2021-06-01 12:02:45,variable star
1410,158025009,1416.01,,1,4,1,1,4,4,4,12.9,99.0,5,11,5,PC,PC,9.0739,0.006,,1,spoc,14:27:41.64,41:57:10.75,-92.338,0.032,-101.247,0.037,2458928.811754,0.002218,1.069606,0.000155,1.476588,0.278406,0.500119,0.046964,460.520791,43.25454,1.770756,1.608937,945.960557,1414.451324,8.87343,55.0135,0.07735,4946.0,128.622,4.53834,0.091403,0.801873,0.053216,,,23,2019-11-06,2020-05-07,2021-06-01 12:02:45,TOI 1416 under investigation; potential L1 candidate
1411,164173105,1417.01,,3,5,5,3,4,4,5,245.4,516.7,3,2,7,PC,CP,8.51017,0.007,,1,spoc,22:23:18.07,35:02:05.71,10.685,0.073,-18.496,0.068,2458739.286621,0.000394,3.072641,9.9e-05,2.229581,0.018431,11.660822,0.263348,10682.545898,242.522629,19.727737,0.98877,2446.887207,1793.796753,34.392918,151.528,1.042,7164.0,169.485992,4.25661,0.08376,1.55831,0.058957,,,16,2019-11-06,2019-12-17,2021-06-01 12:02:45,Likely EB
1412,224600500,1418.01,,5,5,5,5,5,5,5,2.6,41.9,0,0,2,PC,FA,6.76754,0.007,,1,spoc,16:59:50.06,58:27:45.48,-10.013,0.08,11.018,0.077,2458683.681558,0.002569,0.676324,3.3e-05,2.619898,0.274946,0.021318,0.003135,19.634186,2.887327,1.519778,0.243645,107454.970232,4617.70704,7.373401,161.067,0.8595,8475.0,142.024,3.82228,0.071189,2.94865,0.085759,,,"14,15,16,17,18,19",2019-11-06,2020-02-26,2021-06-01 12:02:45,
1413,311035838,1419.01,,5,5,5,5,5,5,5,89.0,262.5,0,0,1,KP,KP,10.7164,0.006,,1,spoc,13:44:22.56,48:01:42.83,-19.746,0.034,-24.008,0.038,2458739.450806,0.000306,2.899733,6.5e-05,2.049797,0.026909,14.097105,0.115437,12899.986328,106.316055,9.651737,0.549119,307.130554,1067.703125,118.156487,134.554,0.4785,5224.0,118.050003,4.55801,0.080411,0.821721,0.045658,0.41,0.08,16,2019-11-06,2019-12-17,2021-06-01 12:02:45,HAT-P-3 b
1414,321857016,1420.01,,3,4,3,3,4,4,4,52.4,168.4,4,10,4,PC,PC,11.2287,0.006,,1,spoc,21:31:46.03,66:20:56.42,45.326,0.045,32.042,0.044,2458745.305586,0.000392,6.956113,1.5e-05,3.3628,0.034057,17.500372,0.13878,15989.231101,127.81271,12.090823,0.697747,136.955769,872.498788,124.317764,201.918,0.9145,5387.0,136.579,4.46259,0.085317,0.940037,0.053518,,,"16,24",2019-11-06,2020-09-23,2021-06-01 12:02:45,TOI 1420
1415,329277372,1421.01,,5,5,5,5,1,5,5,135.3,864.7,0,2,0,PC,APC,10.5998,0.006,,1,spoc,22:10:31.3,57:16:56.77,4.661,2.214,25.274,2.297,2458739.766235,0.000434,2.887829,9e-05,3.715799,0.022488,51.997741,0.825777,46762.972656,760.279236,23.120987,0.19927,634.250427,1279.92627,59.001209,74.2281,7.3284,5780.0,,4.438,,1.0,,,,16,2019-11-06,2019-12-17,2021-06-01 12:02:45,Likely EB; Check neighbor
1416,333473672,1422.01,,1,4,1,1,4,4,4,3.3,38.8,0,15,6,PC,PC,10.1308,0.006,,1,qlp,23:36:57.8,39:38:21.41,-67.547,0.041,-31.087,0.031,2458745.92109,0.00597,12.99844,0.00334,3.945,0.475,1.010204,0.001961,930.0,1.80583,3.08969,0.20648,87.9801,853.0,13.0,155.141,0.66,5914.0,125.3,4.46,0.08,1.01,0.05,,,"16,17",2019-11-06,2020-05-20,2021-06-01 12:02:45,Potential L1 candidate
