id_starname,id_planet,disposition,orbper,orbper_err1,orbper_err2,rprstar,rprstar_err1,rprstar_err2,prad,prad_err1,prad_err2,sma,sma_err1,sma_err2,insol,insol_err1,insol_err2
tic356311210,toi1261.01,PC,18.0575653,0.0001243,-0.0001243,0.029020160554455443,0.0022965357625755046,-0.0022965357625755046,3.1567123910989454,0.2793430703326718,-0.26649259965458055,0.13533016646288334,0.0018204408003806316,-0.0026740610454385077,55.44155617030117,2.492101836113668,-2.87785158046183
tic365938305,toi1262.01,PC,20.8775027,0.0002201,-0.0002201,0.022746945666666667,0.001992783344548292,-0.001992783344548292,2.1721735963263624,0.21300769097466082,-0.20285802756890953,0.14299796551356345,0.002287893542349555,-0.0030950858267789526,28.616232602289184,1.2730275259007013,-1.4976691540711902
tic406672232,toi1263.01,PC,1.0228925,6.6e-06,-6.6e-06,0.015108578024390244,0.0015438310475095335,-0.0015438310475095335,1.3048306634027738,0.14419605006258204,-0.1410612574973078,0.01843056497962606,0.00041790817268761544,-0.0003640197427179534,1142.3373950551863,61.82984873927744,-55.91765824484021
tic416195870,toi1264.01,PC,2.7441674,1.2e-06,-1.2e-06,0.07370235663917525,0.006727160449195716,-0.006727160449195716,7.1524396606724725,0.7599712182314817,-0.6982631531305568,0.036673417249906325,0.0008387476101818204,-0.0008124040545276643,389.29715047852005,21.24511214229151,-20.574053719774938
tic424865156,toi1265.01,KP,2.2047975,2e-05,-2e-05,0.0787680040201005,0.00545504780276353,-0.00545504780276353,16.002645397766145,1.3859303070252902,-1.3370073447542237,0.03791684419327116,0.00043958465058288647,-0.00044259972852133344,4790.864949517927,258.9857374052432,-247.5486532467612
tic467179528,toi1266.01,CP,10.8948598,1.95e-05,-1.95e-05,0.05252672339544513,0.005977279611972581,-0.005977279611972581,2.5535905434380304,0.30404205995481204,-0.3084973639854095,0.07250422580224634,0.0010781883628270966,-0.000567557560532524,5.285131166265218,0.318254756591598,-0.2518934978622613
tic467179528,toi1266.02,CP,18.8015316,9.41e-05,-9.41e-05,0.03967955443481933,0.006514009772041365,-0.006514009772041365,1.9290244740713383,0.32380807821269664,-0.32620394657815444,0.10431442653602888,0.001551228248981646,-0.0008165654551599056,2.5532518741592183,0.15374917528357512,-0.1216899885300982
tic142394656,toi1268.01,CP,8.1577318,3.5e-06,-3.5e-06,0.09480850026666666,0.007722406742707965,-0.007722406742707965,8.890588546355861,0.8296709375461153,-0.7739644746156383,0.07578371488735483,0.001287629959901414,-0.0017226459756438754,84.41733831748117,3.7466691260898997,-4.504461790930891
tic198241702,toi1269.01,PC,4.2529473,1.72e-05,-1.72e-05,0.026442967951928718,0.003864602255901534,-0.003864602255901534,2.465580550333692,0.3718278768359859,-0.36779501467531384,0.04951997555780071,0.0007347306816208826,-0.0007938338053840548,225.84203884657606,9.621181723539461,-9.816602240699684
tic198241702,toi1269.02,PC,9.2378733,5.64e-05,-5.64e-05,0.023394564344226567,0.018446193760834877,-0.018446193760834877,2.1813429920391334,1.721862400872777,-1.7211843061953898,0.08305550473558504,0.0012322992531374794,-0.0013314277285531497,80.28395993291127,3.4202072380244175,-3.4896767349008875
tic234523599,toi127.01,CP,3.7955178,2.3e-06,-2.3e-06,0.21233259091321413,0.009383891923106527,-0.009383891923106527,10.659182160218588,0.6271150899798877,-0.6254838233022662,0.0361943859350776,0.0002689865768807378,-0.0005684335804556757,20.879324995231414,1.7674078884331654,-1.6432839407134605
tic237200747,toi1270.01,APC,14.3034613,2.6e-06,-2.6e-06,0.2040678243373494,0.01763930858104083,-0.01763930858104083,17.77118673292738,1.6499637397106046,-1.5916848201225087,0.1085426981844947,0.0016814601258893533,-0.002492845260048666,29.534557170432883,1.2367344383894017,-1.5771267950951573
tic286923464,toi1271.01,KP,6.1349783,1.65e-05,-1.65e-05,0.058692951902439026,0.0046325421252475475,-0.0046325421252475475,12.571755290565129,1.1292626660667247,-1.14105240388277,0.0732122520821797,5.1424396111303705e-05,-0.0017288883456952184,783.75350405231,28.124451965468957,-42.73981470656863
tic417948359,toi1272.01,PC,3.3159772,7.4e-06,-7.4e-06,0.051948472345679,0.005059008915467365,-0.005059008915467365,4.45602728405568,0.461790774499289,-0.4509512314285253,0.04066636070226826,0.0006397733515795792,-0.000679647639881331,205.22038335688165,8.668620914529114,-8.83080863294326
tic445859771,toi1273.01,PC,4.631303,8.9e-06,-8.9e-06,0.069379210635514,0.005784473857570103,-0.005784473857570103,7.711942032832792,0.7237316986155797,-0.6811389815531378,0.05493571367731787,0.0007984592386961895,-0.0013258750211858133,331.23246016022046,14.716425218908233,-19.24615059605264
tic459969957,toi1274.01,PC,19.3203602,2.51e-05,-2.51e-05,0.10798071877499998,0.011358004182201786,-0.011358004182201786,8.894033282226317,0.9768518178646014,-0.956376395634641,0.12961782395602844,0.0020136397432892507,-0.002351403225666647,15.547309168275298,0.6461948297893657,-0.7036142417701378
tic13499636,toi1275.01,PC,11.3246821,0.0102622,-0.0102622,0.047656087381871,0.005231871959464965,-0.005231871959464965,4.34429269600945,0.5030362393941689,-0.4948246143887193,0.09445446285795295,0.0013923014951545336,-0.0014978148819057195,57.62455165015884,2.4706125272634925,-2.4846213555659316
tic153949511,toi1277.02,PC,14.856058,8.16e-05,-8.16e-05,0.027820406674418603,0.0020712727267976033,-0.0020712727267976033,2.638572816142712,0.2174076317197516,-0.21005314887298837,0.11495098920289339,0.001654638504627328,-0.0017742909154020224,44.271057121587155,1.8728828937667197,-1.8805653522529768
tic163539739,toi1278.01,CP,14.4762171,0.0021929,-0.0021929,0.1544428899016989,0.3244093386858884,-0.3244093386858884,9.073373587906135,19.061434885072103,-19.061198964759438,0.09396864661515573,0.0006592184248407083,-0.0012493297594924394,6.281117445924032,0.2709591849168465,-0.2674500388269591
tic224297258,toi1279.01,PC,9.6141168,6.74e-05,-6.74e-05,0.05421350659523809,0.021253370844027612,-0.021253370844027612,5.000553242024698,1.969522982113886,-1.9662690961154543,0.08524554860226606,0.0006962313171906791,-0.0018166129242170573,73.34388816788078,2.5192000668260373,-3.7818983218337165
tic391949880,toi128.01,PC,4.9404681,1.39e-05,-1.39e-05,0.017983556495575224,0.0011876058800013188,-0.0011876058800013188,2.1878093468399498,0.1674194101030162,-0.1579010839952587,0.05857755744323952,0.0010095532487317213,-0.001103100397591647,452.96120824939914,23.99787290657777,-24.109805707350844
