,ID,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,objType,typeSrc,ra,dec,POSflag,pmRA,e_pmRA,pmDEC,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,Tmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_EBV,epos_EBV,EBVflag,eneg_Mass,epos_Mass,eneg_Rad,epos_Rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_Teff,epos_Teff,TeffFlag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareFlag,VmagFlag,BmagFlag,splists,e_RA,e_Dec,RA_orig,Dec_orig,e_RA_orig,e_Dec_orig,raddflag,wdflag,objID
0,47423120,20190415,,6964-01186-1,326-207954,22481619-2450189,,J224816.20-245019.1,6623319060581364992,12468920,,STAR,tmgaia2,342.067501238683,-24.8385973087088,tmgaia2,9.59203,0.221693,-20.2707,0.11092,gaia2,5.42536,0.070213,gaia2,30.6660570876159,-62.2942727357903,333.87486803731,-15.917698110399,12.164,0.254,11.443,0.018,,,,,,,,,,,10.354,0.022,10.006,0.022,9.97,0.024,AAA-222-111-000-0-0,,9.874,0.024,9.92,0.02,9.833,0.052,8.878,0.488,11.4761,0.00037,11.014,0.0065,rered,gaia2,5644.0,125.716,4.56922,0.0758032,,,0.859855,0.0436005,1.0,0.126548,1.57299,0.335939,DWARF,0.675916433,0.02507985,183.391,2.38,0.0161553,0.00348151,52,0.002841842,,,0.00118860148,0.00448256,0.00248046,panstarrs,0.126586,0.126509,0.0507261,0.0364749,0.312785,0.359093,0.0691477,0.0824587,0.0255133,0.0246464,2.35,2.41,bj2018,117.888,133.544,dered,11.8434,0.001064,10.9595,0.000445,1,,tycho2v3,tycho2b3,,3.51922721154791,1.72008268960279,342.067546747509,-24.8386845853414,0.067634515868176,0.0531931524839162,1,0,1721973246
0,100099031,20190415,,,216-001478,01370536-4656431,,J013705.36-465643.2,4931054568174608256,22141781,,STAR,tmgaia2,24.2723720208626,-46.9453334687331,tmgaia2,-0.213935,0.0222292,-1.97867,0.0249619,gaia2,0.701601,0.0179898,gaia2,281.558073317396,-68.2432112992215,356.948628782327,-51.4475968795986,15.214,0.029,14.282,0.137,,,,,,,,,,,12.585,0.024,12.173,0.026,12.054,0.023,AAA-222-111-000-0-0,,11.987,0.023,12.043,0.022,11.779,0.221,8.681,,14.0564,0.000208,13.4735,0.006,rered,gaia2,4965.0,122.0,,,,,2.63993,,,,,,GIANT,,,1367.8,33.885,0.0125668,8.95656e-09,,,,,,9.96254e-09,7.95058e-09,schlegel,,,,,,,,,,,33.06,34.71,bj2018,,,dered,14.5569,0.00093,13.417,0.00084,1,,ucac4,apassdr9,,0.375817195671473,0.387110641331304,24.2723706716394,-46.9453419880068,0.0116540766641684,0.0124790277117665,0,0,516147099
0,100097716,20190415,,,239-001499,01361145-4218135,,J013611.47-421813.2,4959658534969336320,19705887,,STAR,tmgaia2,24.0477149012911,-42.3037676909063,tmgaia2,24.8189,0.0756196,14.2738,0.0815845,gaia2,2.69878,0.0646677,gaia2,274.781040125085,-72.291981131364,0.74497810429084,-47.5107033588432,12.102,0.029,11.948,0.069,,,,,,,,,,,10.768,0.051,10.451,0.055,10.338,0.041,AEA-222-111-000-0-0,,10.361,0.035,10.4,0.035,10.203,0.085,7.973,,11.7945,0.000522,11.3534,0.006,rered,gaia2,5767.0,121.033,4.15097,0.0794731,,,1.41243,0.0748618,1.03,0.129583,0.365539,0.0828741,DWARF,1.9880631,0.116406,366.824,8.772,0.014076,0.0103815,20,0.498687476,,,0.0005790541,0.0102029,0.0105601,schlegel,0.129574,0.129593,0.0761648,0.0735588,0.0788402,0.0869081,0.0673818,0.0915644,0.128926,0.103886,8.566,8.978,bj2018,112.227,129.838,dered,12.1395,0.001811,11.298,0.001164,1,,ucac4,apassdr9,,1.25746598149631,1.26530732967355,24.0478593862228,-42.3037062343576,0.041645184206497,0.0434888170170186,1,0,516145894
0,183593642,20190415,,7001-01741-1,267-001132,01113312-3642327,,J011133.15-364232.8,5013703860801457280,17468962,,STAR,tmgaia2,17.8880170981634,-36.7090989788583,tmgaia2,35.5187,0.0869121,-4.76299,0.0823082,gaia2,3.16678,0.0556502,gaia2,280.21527084385,-79.5159619215798,359.110194467812,-40.2689831307096,12.248,0.238,11.503,0.017,,,,,,,,,,,10.413,0.026,10.158,0.026,10.053,0.021,AAA-222-111-000-0-0,,10.01,0.023,10.049,0.02,9.932,0.045,9.019,,11.3721,0.00048,10.9767,0.006,rered,gaia2,6049.0,134.489,4.25231,0.082753,,,1.3165,0.0655226,1.13,0.150143,0.495241,0.113619,DWARF,2.09059572,0.1136035,313.032,5.496,0.0105998,0.00998792,32,0.0017556391,,,0.000813369,0.00860304,0.0113728,schlegel,0.155914,0.144372,0.0688171,0.0622281,0.109112,0.118126,0.0981964,0.0673097,0.119337,0.10787,5.401,5.591,bj2018,134.38,134.598,dered,11.6765,0.000921,10.9257,0.000565,1,,tycho2v3,tycho2b3,,1.41989375302331,1.27622127495586,17.888207857068,-36.7091194863287,0.0394615490507888,0.0336679931914672,1,0,514227965
0,369336146,20190415,,,264-000440,00241679-3713194,,J002416.80-371319.3,4998657044174864640,17451748,,STAR,tmgaia2,6.06994705631628,-37.2220729841054,tmgaia2,19.9811,0.0357245,8.93464,0.0260809,gaia2,1.16792,0.0256939,gaia2,330.831000794744,-78.3934058034074,348.342830520881,-36.0495198045357,14.447,0.035,13.783,0.08,,,,,,,,,,,12.346,0.022,12.103,0.026,12.017,0.021,AAA-222-111-000-0-0,,11.958,0.022,12.018,0.023,12.376,0.427,9.259,,13.5351,0.000242,13.0524,0.006,rered,gaia2,5499.0,122.0,4.01266,,,,1.59897,,0.96,,0.234829,,DWARF,2.10624719,,835.557,18.0745,0.0110268,2.332545e-07,,,,,,2.51728e-07,2.14781e-07,schlegel,,,,,,,,,,,17.691,18.458,bj2018,,,dered,13.9255,0.00166,12.9993,0.000817,1,,ucac4,apassdr9,,0.58466298008511,0.404500366291339,6.07005509357294,-37.2220345155653,0.0210571346784441,0.0141170194880044,1,0,508996773
0,220016044,20190415,,8045-00818-1,208-002010,02091722-4829050,,J020917.24-482905.0,4938174764957963648,22153480,,STAR,tmgaia2,32.3217919182809,-48.484723613921,tmgaia2,13.6505,0.0387088,-3.88812,0.0443098,gaia2,2.05332,0.0306384,gaia2,272.862242789583,-63.8477844440247,2.79051695757727,-55.8898036615619,11.23,0.102,10.732,0.007,,,,,,,,,,,10.002,0.026,9.77,0.024,9.728,0.027,AAA-222-111-000-0-0,,9.702,0.023,9.719,0.019,9.715,0.044,8.647,,10.7065,0.000322,10.3987,0.006,rered,spect,6300.3,140.145,3.7196,0.0912938,-0.22,0.12,2.5465,0.137786,1.24,0.183218,0.0750914,0.018881,DWARF,9.205078,0.496673,480.322,7.123,0.0183479,0.009864595,36,0.09864832,,,0.0005436106,0.0101919,0.00953729,schlegel,0.153941,0.212495,0.144533,0.13104,0.015123,0.0226389,0.0883974,0.0941901,0.496692,0.496654,7.019,7.227,bj2018,150.301,129.99,spect,10.9382,0.001167,10.3539,0.000831,1,,tycho2v3,tycho2b3,,0.658402344906948,0.687197716624759,32.3218805894314,-48.4847403544719,0.0226664879856428,0.0233206322957346,1,0,517783406
0,321982642,20190415,,,214-000184,00121462-4721194,,J001214.66-472119.5,4978073533668469888,22109760,,STAR,tmgaia2,3.06095461507056,-47.3554172243444,tmgaia2,36.8324,0.0219986,-1.01476,0.0257569,gaia2,1.69828,0.0222919,gaia2,321.15182998014,-68.3622847911483,339.020213145327,-43.571717509979,14.266,0.022,13.576,0.08,,,,,,,,,,,12.202,0.024,11.855,0.025,11.757,0.021,AAA-222-111-000-0-0,,11.681,0.023,11.74,0.022,11.654,0.222,8.736,,13.3784,0.000545,12.8895,0.006,rered,gaia2,5467.0,130.029,4.25545,0.085167,,,1.20905,0.0658944,0.96,0.126567,0.543174,0.129658,DWARF,1.17646611,0.04954345,579.028,7.531,0.0122613,0.01006539,39,0.008887965,,,0.000300633372,0.0104676,0.00966318,schlegel,0.124563,0.128571,0.0594698,0.0723191,0.109977,0.149339,0.0751839,0.09515,0.0488418,0.0502451,7.435,7.627,bj2018,126.325,133.732,dered,13.7693,0.002744,12.8303,0.002098,1,,ucac4,apassdr9,,0.372571557120567,0.399485022458686,3.06118870509782,-47.3554215936883,0.0136705765395094,0.014217357982904,1,0,508185446
0,80432617,20190415,,,239-000790,00464153-4221424,,J004641.55-422142.5,4986896324207614208,19689120,,STAR,tmgaia2,11.673101796423,-42.3617520716244,tmgaia2,12.7343,0.0355993,-9.14256,0.045641,gaia2,1.36842,0.0381941,gaia2,306.263294070226,-74.7357907427469,349.749308727961,-42.6623088715234,13.618,0.008,12.958,0.08,,,,,,,,,,,11.588,0.021,11.254,0.025,11.162,0.021,AAA-222-111-000-0-0,,11.148,0.022,11.188,0.021,11.222,0.164,8.319,,12.8104,0.000575,12.3409,0.006,rered,gaia2,5573.0,130.826,3.89379,0.0797873,,,1.85248,0.112139,0.98,0.124983,0.154159,0.0354949,DWARF,2.98233628,0.1872465,715.834,19.724,0.00982718,0.009893205,37,0.02578432,,,0.000208820187,0.00762181,0.0121646,schlegel,0.0809014,0.169064,0.102324,0.121953,0.0318143,0.0391756,0.0809964,0.0785782,0.167888,0.206605,19.191,20.257,bj2018,91.3087,170.344,dered,13.1806,0.002228,12.2815,0.001738,1,,ucac4,apassdr9,,0.592233547753052,0.707646209890799,11.6731759984014,-42.361791435448,0.0235199186347756,0.0172676493062094,1,0,510671111
0,13023738,20190415,,,303-278493,23082035-2935250,,J230820.36-293525.5,6605538106429603968,13154347,,STAR,tmgaia2,347.084792687986,-29.5903195009421,tmgaia2,15.5355,0.0841316,-29.348,0.0792084,gaia2,1.51916,0.0595177,gaia2,20.6372968429789,-67.2322163103233,336.14832672021,-22.0698597325503,13.574,0.026,12.971,0.114,,,,,,,,,,,11.581,0.021,11.238,0.025,11.154,0.023,AAA-222-111-000-0-0,,11.112,0.022,11.185,0.021,11.145,0.153,8.829,,12.7147,0.000263,12.2524,0.0066,rered,gaia2,5657.0,118.05,3.97078,0.0804709,,,1.71254,0.104849,1.0,0.125809,0.199102,0.0462227,DWARF,2.705965,0.2294485,646.707,25.1075,0.0194734,0.004215885,33,0.00231834385,,,0.0001972771,0.00336229,0.00506948,panstarrs,0.162577,0.0890417,0.0774673,0.132231,0.0297308,0.0627146,0.0845297,0.0764122,0.20648,0.252417,24.152,26.063,bj2018,143.664,92.4356,dered,13.079,0.002627,12.195,0.000842,1,,ucac4,apassdr9,,1.34973761643495,1.22831279409991,347.084869609125,-29.5904458604098,0.0514061900751016,0.0378269237116233,1,0,1723318115
0,144276942,20190415,,,226-200690,23353696-4448317,,J233536.91-444831.6,6534726465224796032,22095148,,STAR,tmgaia2,353.904083867797,-44.8088227889159,tmgaia2,-65.3925,0.0435393,3.15868,0.0553615,gaia2,8.09597,0.0404403,gaia2,338.586298013991,-66.7112618385105,333.647901065654,-38.0698043752643,14.586,0.032,13.243,0.069,,,,,,,,,,,10.8,0.023,10.167,0.025,10.006,0.021,AAA-222-111-000-0-0,,9.918,0.023,9.943,0.021,9.799,0.047,9.039,0.433,12.7719,0.000222,11.9699,0.006,rered,gaia2,4097.0,131.433,4.50043,0.113201,,,0.744573,0.0762965,0.64,0.0780613,1.55045,0.554982,DWARF,0.140725687,0.0111147,123.083,0.617,0.00803053,0.01041731,40,0.0327244736,,,0.0009478525,0.00773122,0.0131034,schlegel,0.080671,0.0754516,0.0653724,0.0872206,0.457082,0.652881,0.10722,0.119182,0.0102042,0.0120252,0.614,0.62,bj2018,127.036,135.83,dered,13.5726,0.001535,11.906,0.000911,1,,ucac4,apassdr9,,0.730337597820116,0.858513105402879,353.903687016443,-44.8088091897307,0.0235180820915492,0.0265247900638657,1,0,1724772525
